日付,国内株式,先進国株式,全世界株式,米国株式,バランス
2017-10-26,9254.15593158661,11189,10181.6525371012,9547.99807263137,10521
2017-10-27,9368.80030931587,11243,10221.3130720697,9609.65571109759,10520
2017-10-30,9369.57232532751,11273,10248.6788411979,9652.54798133496,10524
2017-10-31,9369.18631732169,11203,10188.7914333955,9568.55061878677,10491
2017-11-01,9544.04794395924,11289,10270.0955300809,9638.2505579225,10552
2017-11-02,9593.84297671034,11331,10317.688172043,9668.63258267397,10596
2017-11-06,9598.86108078603,11381,10355.365680263,9731.18381010347,10601
2017-11-07,9764.45851528384,11338,10323.6372522883,9690.07871779266,10613
2017-11-08,9754.03629912664,11322,10311.7390917977,9690.07871779266,10622
2017-11-09,9734.73589883552,11363,10348.2267839687,9729.39663217691,10638
2017-11-10,9652.51619359534,11261,10257.8007642406,9639.14414688578,10578
2017-11-13,9525.51955967977,11262,10254.2313160935,9657.01592615135,10562
2017-11-14,9527.06359170306,11262,10249.868657247,9665.05822682086,10568
2017-11-15,9376.90647743814,11231,10217.7436239225,9630.20825725299,10523
2017-11-16,9514.71133551674,11133,10127.3176041944,9544.42371677825,10501
2017-11-17,9534.01173580786,11207,10202.6726206345,9615.91083384054,10563
2017-11-20,9475.33851892285,11102,10120.9719185995,9523.87117062284,10538
2017-11-21,9541.34588791849,11170,10180.8593264019,9577.48650841956,10584
2017-11-22,9587.28084061135,11211,10227.6587576646,9615.91083384054,10605
2017-11-24,9598.86108078603,11137,10159.4426375189,9531.91347129235,10580
2017-11-27,9574.54257641921,11190,10201.8794099351,9567.6570298235,10590
2017-11-28,9570.29648835517,11102,10114.2296276548,9504.21221343072,10540
2017-11-29,9618.16148107715,11243,10237.5738914067,9652.54798133496,10592
2017-11-30,9672.58860989811,11278,10261.7668177375,9685.61077297626,10608
2017-12-01,9711.18941048035,11384,10328.3965164845,9808.03246094543,10629
2017-12-04,9664.09643377001,11376,10319.6711987914,9812.50040576182,10630
2017-12-05,9627.81168122271,11358,10309.7560650493,9775.8632582674,10625
2017-12-06,9438.66775836972,11310,10264.5430551853,9740.11969973626,10588
2017-12-07,9574.54257641921,11294,10234.4010486093,9742.80046662609,10574
2017-12-08,9708.10134643377,11398,10324.4304629876,9841.09525258673,10627
2017-12-11,9761.75645924309,11500,10422.3919843597,9925.9862040982,10695
2017-12-12,9731.26182678312,11520,10446.9815160402,9953.68746195983,10703
2017-12-13,9684.5548580786,11530,10444.6018839421,9954.58105092311,10693
2017-12-14,9657.53429767103,11485,10410.0972185195,9897.39135727328,10688
2017-12-15,9598.08906477438,11388,10328.7931218342,9823.22347332116,10638
2017-12-18,9745.54412299855,11476,10400.9752954768,9940.28362751065,10688
2017-12-19,9730.48981077147,11550,10470.3812316716,9984.96307567458,10715
2017-12-20,9740.91202692868,11564,10489.4182884564,9978.70795293163,10720
2017-12-21,9729.331786754,11570,10496.5571847507,9994.79255427064,10718
2017-12-22,9745.15811499272,11628,10547.3226695104,10031.4297017651,10731
2017-12-25,9760.2124272198,11599,10529.0788234249,10011.7707445729,10738
2017-12-26,9740.52601892285,11620,10548.1158802097,10023.3874010956,10746
2017-12-27,9762.14246724891,11616,10542.9600106638,10015.3451004261,10768
2017-12-28,9708.48735443959,11645,10575.481649338,10026.9617569487,10788
2017-12-29,9700.38118631732,11625,10564.3766995468,10002.8348549402,10780
2018-01-04,10014.2056950509,11702,10657.5789567227,10077.0027388923,10868
2018-01-05,10104.9175764192,11796,10741.2626855061,10127.9373097991,10901
2018-01-09,10162.8187772926,11909,10850.725762019,10243.2102860621,10968
2018-01-10,10136.1842248908,11848,10792.0281702657,10198.5308378982,10901
2018-01-11,10102.2155203785,11728,10677.0126188572,10097.5552850477,10821
2018-01-12,10078.6690320233,11776,10713.1037056785,10146.702678028,10819
2018-01-15,10104.9175764192,11836,10768.6284546343,10184.2334144857,10853
2018-01-16,10205.279657933,11850,10778.5435883764,10178.871880706,10867
2018-01-17,10168.9949053857,11780,10726.9848929174,10099.3424629742,10865
2018-01-18,10124.989992722,11925,10858.6578690127,10285.2089673362,10933
2018-01-19,10143.5183770015,11907,10846.7597085222,10248.5718198418,10929
2018-01-22,10146.606441048,11922,10861.0375011108,10261.0820653277,10930
2018-01-23,10277.4631550218,12029,10955.0329689861,10364.738385068,10992
2018-01-24,10198.7175218341,11986,10926.0807784591,10322.7397037939,10989
2018-01-25,10083.687136099,11913,10869.3662134542,10244.1038750254,10954
2018-01-26,10067.8608078603,11925,10880.867768595,10275.3794887401,10957
2018-01-29,10067.0887918486,11927,10883.2474006932,10294.144856969,10912
2018-01-30,9923.49381368268,11887,10847.5529192215,10256.6141205113,10863
2018-01-31,9841.66011644833,11755,10717.0697591753,10121.6821870562,10796
2018-02-01,10006.0995269287,11802,10768.2318492846,10169.9359910732,10879
2018-02-02,9916.9316775837,11825,10783.3028525726,10183.3398255224,10871
2018-02-05,9664.48244177584,11638,10615.9353950058,10008.1963887198,10770
2018-02-06,9208.60698689956,11158,10197.9133564383,9517.6160478799,10490
2018-02-07,9224.43331513828,11232,10235.987470008,9722.24792047068,10503
2018-02-08,9330.19950873362,11220,10216.5538078735,9672.20693852708,10503
2018-02-09,9113.26300946143,10836,9893.32044788057,9270.98549401502,10333
2018-02-13,9054.2037845706,11027,10034.9085577179,9527.44552647596,10358
2018-02-14,9016.76100800582,10959,9982.1600462099,9475.6173666058,10307
2018-02-15,9148.38973799127,11019,10044.8236914601,9516.72245891662,10321
2018-02-16,9257.63000363901,11089,10113.4364169555,9581.95445323595,10371
2018-02-19,9439.05376637555,11104,10120.1787079001,9586.42239805234,10428
2018-02-20,9344.48180494905,11133,10147.941082378,9631.99543517955,10447
2018-02-21,9363.78220524018,11165,10174.1170354572,9641.82491377561,10450
2018-02-22,9263.03411572052,11110,10144.3716342309,9587.31598701562,10412
2018-02-23,9330.19950873362,11075,10105.1077046121,9554.25319537432,10423
2018-02-26,9446.77392649199,11189,10210.6047276282,9698.12101846216,10499
2018-02-27,9546.36399199418,11297,10301.4273527059,9807.13887198215,10539
2018-02-28,9409.71715793304,11224,10235.5908646583,9730.29022114019,10464
2018-03-01,9262.26209970888,11030,10055.1354305519,9565.86985189694,10349
2018-03-02,9032.20132823872,10874,9925.44548120501,9399.66230472713,10289
2018-03-05,8972.75609534207,10790,9839.38212032347,9383.57770338811,10214
2018-03-06,9133.33542576419,10965,9980.97023016085,9547.99807263137,10299
2018-03-07,9061.53793668122,10951,9980.17701946148,9518.50963684317,10291
2018-03-08,9111.71897743814,11005,10023.8036079268,9559.61472915399,10327
2018-03-09,9155.72389010189,11115,10124.5413667466,9659.69669304119,10365
2018-03-12,9307.03902838428,11286,10275.2513996268,9846.4567863664,10435
2018-03-13,9366.87026928675,11235,10244.3161823514,9781.22479204707,10437
2018-03-14,9285.42258005822,11203,10222.5028881187,9749.94917833232,10457
2018-03-15,9296.61681222707,11087,10118.1956811517,9636.46337999594,10427
2018-03-16,9241.41766739447,11097,10125.7311827957,9651.65439237168,10423
2018-03-19,9158.42594614265,11074,10097.9688083178,9634.67620206939,10371
2018-03-20,9115.57905749636,10972,10010.7156313872,9517.6160478799,10361
2018-03-22,9205.51892285298,10944,9992.86839065138,9470.25583282613,10359
2018-03-23,8789.0162845706,10634,9718.02088332001,9170.00994116454,10204
2018-03-26,8851.54958151383,10465,9560.56855949525,8984.1434368026,10146
2018-03-27,9087.40047307133,10708,9772.75242157647,9279.02779468452,10280
2018-03-28,9033.35935225619,10601,9687.4822713943,9111.03306958815,10272
2018-03-29,9088.94450509462,10700,9761.25086643562,9204.8599107324,10355
2018-03-30,9214.78311499272,10748,9798.92837465565,9276.34702779469,10353
2018-04-02,9186.99053857351,10760,9812.41295654492,9281.70856157436,10360
2018-04-03,9145.30167394469,10547,9633.14733848751,9031.50365185636,10291
2018-04-04,9156.88191411936,10689,9753.31875944193,9208.43426658552,10353
2018-04-05,9296.61681222707,10789,9822.72469563672,9341.57902211402,10393
2018-04-06,9263.80613173217,10943,9958.36372522883,9439.87380807466,10412
2018-04-09,9310.8991084425,10748,9794.9623211588,9203.07273280584,10378
2018-04-10,9361.08014919942,10783,9821.13827423798,9227.19963481436,10387
